dataset,subject,decoder,n_trials,accuracy_all,mean_confidence,ece,brier,method,method_label,source_file
BNCI2014_004,1,seed_ensemble,320,0.721875,0.8511788224019355,0.13165073134058547,0.4155164065980478,seed_ensemble,Seed ensemble,results/calibration_workflow_bnci2014_004/probabilities/validation_only_selection_bnci2014_004_subject1_probabilities.npz
BNCI2014_004,2,seed_ensemble,280,0.5821428571428572,0.6037328765248889,0.025081629332051762,0.48485989018719006,seed_ensemble,Seed ensemble,results/calibration_workflow_bnci2014_004/probabilities/validation_only_selection_bnci2014_004_subject2_probabilities.npz
BNCI2014_004,3,seed_ensemble,320,0.5375,0.5017477725606442,0.0357522274393558,0.49956712265469455,seed_ensemble,Seed ensemble,results/calibration_workflow_bnci2014_004/probabilities/validation_only_selection_bnci2014_004_subject3_probabilities.npz
BNCI2014_004,4,seed_ensemble,320,0.96875,0.9737214953952791,0.017730939532080707,0.054587098393982104,seed_ensemble,Seed ensemble,results/calibration_workflow_bnci2014_004/probabilities/validation_only_selection_bnci2014_004_subject4_probabilities.npz
BNCI2014_004,5,seed_ensemble,320,0.871875,0.9069562798648455,0.05062678169942174,0.19580167426244158,seed_ensemble,Seed ensemble,results/calibration_workflow_bnci2014_004/probabilities/validation_only_selection_bnci2014_004_subject5_probabilities.npz
BNCI2014_004,6,seed_ensemble,320,0.825,0.8024214199241122,0.02463377874326128,0.2435343096610519,seed_ensemble,Seed ensemble,results/calibration_workflow_bnci2014_004/probabilities/validation_only_selection_bnci2014_004_subject6_probabilities.npz
BNCI2014_004,7,seed_ensemble,320,0.7875,0.8060612996089723,0.028517272607537242,0.3018613523706948,seed_ensemble,Seed ensemble,results/calibration_workflow_bnci2014_004/probabilities/validation_only_selection_bnci2014_004_subject7_probabilities.npz
BNCI2014_004,8,seed_ensemble,320,0.8875,0.9065729920972434,0.030555267659364303,0.15606674630548745,seed_ensemble,Seed ensemble,results/calibration_workflow_bnci2014_004/probabilities/validation_only_selection_bnci2014_004_subject8_probabilities.npz
BNCI2014_004,9,seed_ensemble,320,0.896875,0.880320833039635,0.03091449364243275,0.15538331691973914,seed_ensemble,Seed ensemble,results/calibration_workflow_bnci2014_004/probabilities/validation_only_selection_bnci2014_004_subject9_probabilities.npz
BNCI2014_004,1,teacher_student_mixture,320,0.7125,0.8217871381253901,0.10928713812539004,0.40410768796758384,teacher_student_mixture,Teacher/student,results/calibration_workflow_bnci2014_004/probabilities/validation_only_selection_bnci2014_004_subject1_probabilities.npz
BNCI2014_004,2,teacher_student_mixture,280,0.5857142857142857,0.6028522223654749,0.0329407725352171,0.4839666614171336,teacher_student_mixture,Teacher/student,results/calibration_workflow_bnci2014_004/probabilities/validation_only_selection_bnci2014_004_subject2_probabilities.npz
BNCI2014_004,3,teacher_student_mixture,320,0.525,0.5228044595735238,0.0021955404264761835,0.49794751461455444,teacher_student_mixture,Teacher/student,results/calibration_workflow_bnci2014_004/probabilities/validation_only_selection_bnci2014_004_subject3_probabilities.npz
BNCI2014_004,4,teacher_student_mixture,320,0.95625,0.9500960917106454,0.02281873957548445,0.0605604119516171,teacher_student_mixture,Teacher/student,results/calibration_workflow_bnci2014_004/probabilities/validation_only_selection_bnci2014_004_subject4_probabilities.npz
BNCI2014_004,5,teacher_student_mixture,320,0.91875,0.8751533592418855,0.04450524527941012,0.14510561986062756,teacher_student_mixture,Teacher/student,results/calibration_workflow_bnci2014_004/probabilities/validation_only_selection_bnci2014_004_subject5_probabilities.npz
BNCI2014_004,6,teacher_student_mixture,320,0.821875,0.7798966067971655,0.04358048464893939,0.2587194981410139,teacher_student_mixture,Teacher/student,results/calibration_workflow_bnci2014_004/probabilities/validation_only_selection_bnci2014_004_subject6_probabilities.npz
BNCI2014_004,7,teacher_student_mixture,320,0.76875,0.8088682787787779,0.050293856210361386,0.30458049336371473,teacher_student_mixture,Teacher/student,results/calibration_workflow_bnci2014_004/probabilities/validation_only_selection_bnci2014_004_subject7_probabilities.npz
